,dataset,features version,pipeline,name,adjusted_r2,r2,mae,mape,time,params
0,ShorterThan1.2Kms,prev,single step,KNeighborsRegressor(),0.68709192,0.68781228,85.73273165,35.83419815,27.6002339,"{'n_neighbors': 25, 'weights': 'distance'}"
1,ShorterThan1.2Kms,prev,single step,DecisionTreeRegressor(random_state=5),0.65344271,0.65424053,93.2542967,40.21942812,0.007856700002,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,prev,single step,MLPRegressor(random_state=5),0.64787061,0.64868126,97.91346227,44.03317614,0.1728131,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,prev,two steps,KNeighborsRegressor(),0.76267204,0.76347163,77.15945848,32.25077833,28.3890505,"{'n_neighbors': 15, 'weights': 'distance'}"
1,ShorterThan1.2Kms,prev,two steps,DecisionTreeRegressor(random_state=5),0.72532141,0.72620699,83.92886703,36.19748531,0.008387399997,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,prev,two steps,MLPRegressor(random_state=5),0.71913637,0.72003619,88.12211604,39.62985852,0.1327288,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,prev,two steps clf,KNeighborsRegressor(),0.73518836,0.73595914,81.44609507,34.04248824,26.596383,"{'n_neighbors': 25, 'weights': 'distance'}"
1,ShorterThan1.2Kms,prev,two steps clf,DecisionTreeRegressor(random_state=5),0.6991837,0.70003737,88.59158187,38.20845671,0.0095325,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,prev,two steps clf,MLPRegressor(random_state=5),0.69322155,0.69408894,93.01778915,41.83151733,0.1565099,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,inputs count,single step,KNeighborsRegressor(),0.72144652,0.72220289,80.58876775,33.68414626,26.5586475,"{'n_neighbors': 25, 'weights': 'distance'}"
1,ShorterThan1.2Kms,inputs count,single step,DecisionTreeRegressor(random_state=5),0.68611485,0.68695256,87.6590389,37.80626243,0.007928699997,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,inputs count,single step,MLPRegressor(random_state=5),0.68026414,0.68111532,92.03865453,41.39118557,0.166072,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,inputs count,two steps,KNeighborsRegressor(),0.80080564,0.80164521,72.52989097,30.31573163,27.11227,"{'n_neighbors': 15, 'weights': 'distance'}"
1,ShorterThan1.2Kms,inputs count,two steps,DecisionTreeRegressor(random_state=5),0.76158748,0.76251734,78.89313501,34.02563619,0.007778900006,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,inputs count,two steps,MLPRegressor(random_state=5),0.75509319,0.756038,82.83478908,37.25206701,0.1946198,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,inputs count,two steps clf,KNeighborsRegressor(),0.77194778,0.7727571,76.55932936,31.99993895,26.8469308,"{'n_neighbors': 25, 'weights': 'distance'}"
1,ShorterThan1.2Kms,inputs count,two steps clf,DecisionTreeRegressor(random_state=5),0.73414289,0.73503924,83.27608696,35.91594931,0.009679500014,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,inputs count,two steps clf,MLPRegressor(random_state=5),0.72788263,0.72879339,87.4367218,39.32162629,0.165812,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
