,dataset,features version,pipeline,pca_n_componenets,name,adjusted_r2,r2,mae,mape,time,params
0,mBackground,split inputs and args,single step,,KNeighborsRegressor(),0.7956731144928422,0.797239077747802,924.1895731234455,37.558920135921404,0.9526223000002574,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mBackground,split inputs and args,single step,,DecisionTreeRegressor(random_state=5),0.883237308845606,0.8841321792560475,705.4549494330371,19.508550631673337,0.0018786000000545755,"{'criterion': 'mae', 'max_depth': 10}"
2,mBackground,split inputs and args,single step,,MLPRegressor(random_state=5),0.8244121639797977,0.8257578708775614,1015.9902496338227,56.23812496693844,0.007167000000663393,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mBackground,split inputs and args - PCA,single step,1,KNeighborsRegressor(),0.09694988302619956,0.09722672242441355,3738.5308611707023,995.0652227805202,0.011802800000623392,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,mBackground,split inputs and args - PCA,single step,1,DecisionTreeRegressor(random_state=5),0.10635016050812629,0.10662411815358674,3766.4671974259527,1007.7755151405471,0.00023529999998572748,"{'criterion': 'mse', 'max_depth': 5}"
2,mBackground,split inputs and args - PCA,single step,1,MLPRegressor(random_state=5),0.019202719790647027,0.019503393389730284,4342.572574202873,1142.2764214223248,0.00513779999982944,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
3,mBackground,split inputs and args - PCA,single step,2,KNeighborsRegressor(),0.7468598929008083,0.7470150983619359,1116.937449393359,70.98456607027542,0.016593399999692338,"{'n_neighbors': 20, 'weights': 'distance'}"
4,mBackground,split inputs and args - PCA,single step,2,DecisionTreeRegressor(random_state=5),0.6373315677577072,0.6375539273115038,1293.5775360098069,79.77267624347762,0.0005027000006521121,"{'criterion': 'mae', 'max_depth': 10}"
5,mBackground,split inputs and args - PCA,single step,2,MLPRegressor(random_state=5),0.23359145847434193,0.23406135948079543,3412.5119709053074,489.44605437989327,0.00477839999985008,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
6,mBackground,split inputs and args - PCA,single step,3,KNeighborsRegressor(),0.8738909195376238,0.874006899685198,760.5488596696177,22.702884264976543,0.0140304999986256,"{'n_neighbors': 10, 'weights': 'distance'}"
7,mBackground,split inputs and args - PCA,single step,3,DecisionTreeRegressor(random_state=5),0.806017551421786,0.806195953428449,900.6648611428863,27.830817520961702,0.000545599999895785,"{'criterion': 'mse', 'max_depth': 10}"
8,mBackground,split inputs and args - PCA,single step,3,MLPRegressor(random_state=5),0.7165683981472195,0.7168290648564649,1575.1867774937402,125.34100990085481,0.005273900000247522,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
9,mBackground,split inputs and args - PCA,single step,4,KNeighborsRegressor(),0.8794386679442213,0.8795865052612731,737.9354717736477,20.712083301107707,0.015427600001203245,"{'n_neighbors': 10, 'weights': 'distance'}"
10,mBackground,split inputs and args - PCA,single step,4,DecisionTreeRegressor(random_state=5),0.8180235300976136,0.818246677209695,863.0804474410052,23.56800465609283,0.0005524000007426366,"{'criterion': 'mae', 'max_depth': 10}"
11,mBackground,split inputs and args - PCA,single step,4,MLPRegressor(random_state=5),0.7340659698821459,0.7343920692446448,1465.400123266592,117.35486345007446,0.007315200000448385,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
12,mBackground,split inputs and args - PCA,single step,5,KNeighborsRegressor(),0.8768715223707813,0.8770602539428677,738.0385289436757,21.166863978720876,0.017492099999799393,"{'n_neighbors': 10, 'weights': 'distance'}"
13,mBackground,split inputs and args - PCA,single step,5,DecisionTreeRegressor(random_state=5),0.8282621979297438,0.8285254379697043,836.8383389518848,21.391918181722396,0.0005367000012483913,"{'criterion': 'mae', 'max_depth': 10}"
14,mBackground,split inputs and args - PCA,single step,5,MLPRegressor(random_state=5),0.7828418751181421,0.7831747355180223,1407.3910716401588,125.00826126723854,0.006395200000042678,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
15,mBackground,split inputs and args - PCA,single step,6,KNeighborsRegressor(),0.8639391745452035,0.8641894397054515,777.7761646626794,23.381994652518443,0.022748600000340957,"{'n_neighbors': 10, 'weights': 'distance'}"
16,mBackground,split inputs and args - PCA,single step,6,DecisionTreeRegressor(random_state=5),0.8348330657343753,0.8351368675754525,847.9301735952475,26.396577857142418,0.0005626999991363846,"{'criterion': 'mse', 'max_depth': 10}"
17,mBackground,split inputs and args - PCA,single step,6,MLPRegressor(random_state=5),0.779411824668185,0.7798175662537126,1255.2676283052278,105.62758859917767,0.005232600000454113,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
18,mBackground,split inputs and args - PCA,single step,7,KNeighborsRegressor(),0.7436486605968743,0.7441987707672673,1106.3729366437017,58.575119483836545,0.03416119999928924,"{'n_neighbors': 5, 'weights': 'distance'}"
19,mBackground,split inputs and args - PCA,single step,7,DecisionTreeRegressor(random_state=5),0.8275503733813931,0.8279204369578279,870.0228372309437,26.088883331170155,0.0005748000003222842,"{'criterion': 'mse', 'max_depth': 10}"
20,mBackground,split inputs and args - PCA,single step,7,MLPRegressor(random_state=5),0.7645032908084703,0.7650086485535166,1620.7667642142117,220.8609094159734,0.008033199999772478,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
21,mBackground,split inputs and args - PCA,single step,8,KNeighborsRegressor(),0.7235948969741347,0.7242727758288885,1165.297929078633,73.30475298382552,0.038956899999902816,"{'n_neighbors': 5, 'weights': 'distance'}"
22,mBackground,split inputs and args - PCA,single step,8,DecisionTreeRegressor(random_state=5),0.838909773417999,0.8393048444825778,842.3227338610685,26.212353036632514,0.0005127999993419508,"{'criterion': 'mse', 'max_depth': 10}"
23,mBackground,split inputs and args - PCA,single step,8,MLPRegressor(random_state=5),0.7802266640475538,0.7807656544484182,1388.474320469002,140.18466163857272,0.007280600000740378,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mBackground,split inputs and args - reduced,single step,,KNeighborsRegressor(),0.7836298834113051,0.7846248410289723,981.1606724968661,43.681575205587905,0.17727930000000924,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mBackground,split inputs and args - reduced,single step,,DecisionTreeRegressor(random_state=5),0.8767587730412322,0.8773254862246722,722.5228317499234,21.339168131948867,0.0016646999993099598,"{'criterion': 'mae', 'max_depth': 10}"
2,mBackground,split inputs and args - reduced,single step,,MLPRegressor(random_state=5),0.7814249300304016,0.7824300269186738,1432.9889974697494,134.74382177924164,0.006891200000609388,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mBackground,"split inputs and args - reduced, PCA",single step,1,KNeighborsRegressor(),0.13446635528404105,0.13473169361779835,3640.8533619368677,768.9657180317437,0.011010499998519663,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,mBackground,"split inputs and args - reduced, PCA",single step,1,DecisionTreeRegressor(random_state=5),0.12765609724969018,0.12792352333882262,3630.985161961428,785.3693077797601,0.000225499999942258,"{'criterion': 'mse', 'max_depth': 5}"
2,mBackground,"split inputs and args - reduced, PCA",single step,1,MLPRegressor(random_state=5),0.17679707643274156,0.17704943784401284,3725.9596220935955,788.1399841279399,0.0053442999997059815,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
3,mBackground,"split inputs and args - reduced, PCA",single step,2,KNeighborsRegressor(),0.8018823576238987,0.802003827668274,993.0665449164993,49.96432450718983,0.011447799999587005,"{'n_neighbors': 10, 'weights': 'distance'}"
4,mBackground,"split inputs and args - reduced, PCA",single step,2,DecisionTreeRegressor(random_state=5),0.7038048043419373,0.7039864077727516,1157.758249429517,79.88776215258406,0.00042630000098142773,"{'criterion': 'mse', 'max_depth': 10}"
5,mBackground,"split inputs and args - reduced, PCA",single step,2,MLPRegressor(random_state=5),0.4623688623387968,0.46269849516384964,2489.8175597240484,437.3342225621217,0.004634599999917555,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
6,mBackground,"split inputs and args - reduced, PCA",single step,3,KNeighborsRegressor(),0.862390307035552,0.8625168640799705,794.0991887454942,24.763956825993315,0.010674299999664072,"{'n_neighbors': 5, 'weights': 'distance'}"
7,mBackground,"split inputs and args - reduced, PCA",single step,3,DecisionTreeRegressor(random_state=5),0.7700872427828542,0.7702986892180631,1011.0167786394115,54.902159788888895,0.00043089999962830916,"{'criterion': 'mse', 'max_depth': 10}"
8,mBackground,"split inputs and args - reduced, PCA",single step,3,MLPRegressor(random_state=5),0.5396805898107429,0.54010393690779,1944.3056861585794,215.0656038221215,0.005466900000101305,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
9,mBackground,"split inputs and args - reduced, PCA",single step,4,KNeighborsRegressor(),0.8543189477684922,0.8544975879306399,795.6176600401758,26.563165034087895,0.0164160999993328,"{'n_neighbors': 10, 'weights': 'distance'}"
10,mBackground,"split inputs and args - reduced, PCA",single step,4,DecisionTreeRegressor(random_state=5),0.8119835433815469,0.8122140969764193,934.7020609208911,48.568734490959315,0.0005942000007053139,"{'criterion': 'mse', 'max_depth': 10}"
11,mBackground,"split inputs and args - reduced, PCA",single step,4,MLPRegressor(random_state=5),0.6663554807086987,0.6667646094877193,1584.1452497395546,167.89683737686798,0.007108900001185248,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
12,mBackground,"split inputs and args - reduced, PCA",single step,5,KNeighborsRegressor(),0.8388272607532468,0.8390743066441829,803.2288466532691,24.860916363372564,0.018597999998746673,"{'n_neighbors': 5, 'weights': 'distance'}"
13,mBackground,"split inputs and args - reduced, PCA",single step,5,DecisionTreeRegressor(random_state=5),0.8059744052334769,0.8062718080458106,942.8565361974358,47.91610749756507,0.0005706000010832213,"{'criterion': 'mse', 'max_depth': 10}"
14,mBackground,"split inputs and args - reduced, PCA",single step,5,MLPRegressor(random_state=5),0.5950243440262597,0.595645091506293,1674.7731560033553,165.49737272833508,0.006718599999658181,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
15,mBackground,"split inputs and args - reduced, PCA",single step,6,KNeighborsRegressor(),0.7243258238803003,0.7248328885819306,1167.1255428084464,71.68084563088722,0.023114899999200134,"{'n_neighbors': 5, 'weights': 'distance'}"
16,mBackground,"split inputs and args - reduced, PCA",single step,6,DecisionTreeRegressor(random_state=5),0.8072709201423955,0.8076254187564806,965.7443787132084,50.44399573452157,0.0004935999986628303,"{'criterion': 'mse', 'max_depth': 10}"
17,mBackground,"split inputs and args - reduced, PCA",single step,6,MLPRegressor(random_state=5),0.5783381693419637,0.5791137582395567,1871.3562973544117,216.0942059209429,0.005197399999815389,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
18,mBackground,"split inputs and args - reduced, PCA",single step,7,KNeighborsRegressor(),0.6986481822220469,0.6992948599426004,1262.734862214614,85.95182946548215,0.029901799998697243,"{'n_neighbors': 5, 'weights': 'distance'}"
19,mBackground,"split inputs and args - reduced, PCA",single step,7,DecisionTreeRegressor(random_state=5),0.8054395072735642,0.8058570190605308,967.1303036720988,50.16098716854547,0.0005483000004460337,"{'criterion': 'mse', 'max_depth': 10}"
20,mBackground,"split inputs and args - reduced, PCA",single step,7,MLPRegressor(random_state=5),0.5683618256154289,0.5692880877922198,1976.1363629589905,302.3423596098065,0.005367399999158806,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
21,mBackground,"split inputs and args - reduced, PCA",single step,8,KNeighborsRegressor(),0.7102297454683391,0.7109404021318133,1228.071255886658,79.5365401688333,0.03613660000155505,"{'n_neighbors': 5, 'weights': 'distance'}"
22,mBackground,"split inputs and args - reduced, PCA",single step,8,DecisionTreeRegressor(random_state=5),0.7548182236406099,0.7554195278131651,1046.0636428881467,54.77849885705821,0.0005470000014611287,"{'criterion': 'mse', 'max_depth': 10}"
23,mBackground,"split inputs and args - reduced, PCA",single step,8,MLPRegressor(random_state=5),0.6040967809932049,0.6050677269625655,1842.7735962523334,200.8132833071155,0.005213600001297891,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
