,dataset,features version,pipeline,pca_n_componenets,name,adjusted_r2,r2,mae,mape,time,params
0,ShorterThan1.2Kms,prev,single step,,KNeighborsRegressor(),0.68709192,0.68781228,85.73273165,35.83419815,27.6002339,"{'n_neighbors': 25, 'weights': 'distance'}"
1,ShorterThan1.2Kms,prev,single step,,DecisionTreeRegressor(random_state=5),0.65344271,0.65424053,93.2542967,40.21942812,0.007856700002,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,prev,single step,,MLPRegressor(random_state=5),0.64787061,0.64868126,97.91346227,44.03317614,0.1728131,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,prev,single step,1,KNeighborsRegressor(),0.04398333,0.04403835,190.80724908,97.51288457,0.05284959999698913,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,ShorterThan1.2Kms,prev,single step,1,DecisionTreeRegressor(random_state=5),0.05414122,0.05419565,192.39494108,99.19546129,0.0006800999981351197,"{'criterion': 'mse', 'max_depth': 5}"
2,ShorterThan1.2Kms,prev,single step,1,MLPRegressor(random_state=5),0.03263309,0.03268877,196.34612697,101.27111201,0.15109980000124779,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
3,ShorterThan1.2Kms,prev,single step,2,KNeighborsRegressor(),0.57196205,0.57201132,107.72111316,46.86432865,0.09343229999649338,"{'n_neighbors': 25, 'weights': 'distance'}"
4,ShorterThan1.2Kms,prev,single step,2,DecisionTreeRegressor(random_state=5),0.48291727,0.48297679,124.36414893,58.15170337,0.001410999997460749,"{'criterion': 'mse', 'max_depth': 10}"
5,ShorterThan1.2Kms,prev,single step,2,MLPRegressor(random_state=5),0.45815245,0.45821482,131.04544935,59.69577048,0.16877939999540104,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
6,ShorterThan1.2Kms,prev,single step,3,KNeighborsRegressor(),0.65386801,0.65392777,93.52109335,39.48102008,0.11770570000226144,"{'n_neighbors': 25, 'weights': 'distance'}"
7,ShorterThan1.2Kms,prev,single step,3,DecisionTreeRegressor(random_state=5),0.58420194,0.58427373,108.84831902,48.52374098,0.001564999998663552,"{'criterion': 'mse', 'max_depth': 10}"
8,ShorterThan1.2Kms,prev,single step,3,MLPRegressor(random_state=5),0.58839339,0.58846446,110.99062168,50.39945011,0.09331899999961024,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
9,ShorterThan1.2Kms,prev,single step,4,KNeighborsRegressor(),0.66988074,0.66995674,90.07790898,37.32765669,0.15106009999726666,"{'n_neighbors': 25, 'weights': 'distance'}"
10,ShorterThan1.2Kms,prev,single step,4,DecisionTreeRegressor(random_state=5),0.63283799,0.63292252,98.32146118,42.44746322,0.0016795999981695786,"{'criterion': 'mse', 'max_depth': 10}"
11,ShorterThan1.2Kms,prev,single step,4,MLPRegressor(random_state=5),0.61222246,0.61231174,108.54157723,50.08748545,0.08408269999927143,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
12,ShorterThan1.2Kms,prev,single step,5,KNeighborsRegressor(),0.67826122,0.67835381,87.96705185,35.9832379,0.16250990000116872,"{'n_neighbors': 20, 'weights': 'distance'}"
13,ShorterThan1.2Kms,prev,single step,5,DecisionTreeRegressor(random_state=5),0.63712953,0.63723395,96.89841624,41.90061588,0.0017214999970747158,"{'criterion': 'mse', 'max_depth': 10}"
