,dataset,features version,pipeline,pca_n_componenets,name,adjusted_r2,r2,mae,mape,time,params
0,mDiffFit,prev,single step,1,KNeighborsRegressor(),0.01184778,0.01191876,751.75115932,228.06885555,0.04572379999990517,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,mDiffFit,prev,single step,1,DecisionTreeRegressor(random_state=5),0.0271261,0.02719598,745.16884409,229.94992844,0.0006119999998190906,"{'criterion': 'mse', 'max_depth': 5}"
2,mDiffFit,prev,single step,1,MLPRegressor(random_state=5),0.03832629,0.03839537,761.07402561,249.23876063,0.11066870000013296,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
3,mDiffFit,prev,single step,2,KNeighborsRegressor(),0.63015823,0.63022573,411.54329086,86.69763606,0.05749229999992167,"{'n_neighbors': 15, 'weights': 'distance'}"
4,mDiffFit,prev,single step,2,DecisionTreeRegressor(random_state=5),0.34422741,0.34433599,424.93434851,63.92488433,0.0021927000002506247,"{'criterion': 'mae', 'max_depth': 15}"
5,mDiffFit,prev,single step,2,MLPRegressor(random_state=5),0.39560985,0.39571105,530.68173907,124.52453353,0.09813149999990856,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
6,mDiffFit,prev,single step,3,KNeighborsRegressor(),0.65611305,0.65620871,375.90191592,69.48595815,0.06995999999980995,"{'n_neighbors': 15, 'weights': 'distance'}"
7,mDiffFit,prev,single step,3,DecisionTreeRegressor(random_state=5),0.46255208,0.46268945,453.34144081,91.92949873,0.001274100000046019,"{'criterion': 'mse', 'max_depth': 10}"
8,mDiffFit,prev,single step,3,MLPRegressor(random_state=5),0.47439888,0.4745337,514.04164546,113.13917048,0.06093830000008893,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
9,mDiffFit,prev,single step,4,KNeighborsRegressor(),0.75147421,0.75157435,333.86344221,61.69112676,0.08332960000007006,"{'n_neighbors': 15, 'weights': 'distance'}"
10,mDiffFit,prev,single step,4,DecisionTreeRegressor(random_state=5),0.7030155,0.70312957,373.0905984,81.66722693,0.0014625000003434252,"{'criterion': 'mse', 'max_depth': 10}"
11,mDiffFit,prev,single step,4,MLPRegressor(random_state=5),0.59566576,0.59581067,494.47653431,130.25818698,0.031202199999825098,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
12,mDiffFit,prev,single step,5,KNeighborsRegressor(),0.72750001,0.7276338,330.9525999,59.80960569,0.06069980000029318,"{'n_neighbors': 5, 'weights': 'distance'}"
13,mDiffFit,prev,single step,5,DecisionTreeRegressor(random_state=5),0.6813794,0.68152976,374.42768474,78.14614077,0.0013985999994474696,"{'criterion': 'mse', 'max_depth': 10}"
14,mDiffFit,prev,single step,5,MLPRegressor(random_state=5),0.63791196,0.63807793,470.69982276,122.87100533,0.05574449999949138,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
15,mDiffFit,prev,single step,6,KNeighborsRegressor(),0.72320884,0.72337124,330.9265795,59.7110643,0.07444089999989956,"{'n_neighbors': 5, 'weights': 'distance'}"
16,mDiffFit,prev,single step,6,DecisionTreeRegressor(random_state=5),0.65032492,0.65051873,384.4209523,81.35114229,0.0015505000001212466,"{'criterion': 'mse', 'max_depth': 10}"
17,mDiffFit,prev,single step,6,MLPRegressor(random_state=5),0.61979668,0.62000365,440.5301224,92.78090111,0.051359400000364985,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
18,mDiffFit,prev,single step,7,KNeighborsRegressor(),0.7623942,0.76256396,308.36300914,55.65701259,0.09224809999977879,"{'n_neighbors': 5, 'weights': 'distance'}"
19,mDiffFit,prev,single step,7,DecisionTreeRegressor(random_state=5),0.5632007,0.56347062,401.26438113,85.07624992,0.0015911999998934334,"{'criterion': 'mse', 'max_depth': 10}"
20,mDiffFit,prev,single step,7,MLPRegressor(random_state=5),0.62004231,0.62028365,466.87656348,113.78530914,0.03739049999967392,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
21,mDiffFit,prev,single step,8,KNeighborsRegressor(),0.75053092,0.75073175,330.36226861,62.0056328,0.15685279999979684,"{'n_neighbors': 15, 'weights': 'distance'}"
22,mDiffFit,prev,single step,8,DecisionTreeRegressor(random_state=5),0.62915561,0.62942619,394.772822,81.44081169,0.0014985999996497412,"{'criterion': 'mse', 'max_depth': 10}"
23,mDiffFit,prev,single step,8,MLPRegressor(random_state=5),0.64447162,0.6447334,443.32729307,104.56011774,0.029220299999906274,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mDiffFit,inputs count,single step,1,KNeighborsRegressor(),-0.00037669,-0.00030483,758.74117225,231.5732135,0.04684659999929863,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,mDiffFit,inputs count,single step,1,DecisionTreeRegressor(random_state=5),0.02341696,0.02348711,748.17237665,234.25726738,0.0006112000000939588,"{'criterion': 'mse', 'max_depth': 5}"
2,mDiffFit,inputs count,single step,1,MLPRegressor(random_state=5),0.03814883,0.03821792,760.66277433,249.3892144,0.11045409999951517,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
3,mDiffFit,inputs count,single step,2,KNeighborsRegressor(),0.67397265,0.67404966,384.53198487,80.9887626,0.06690950000029261,"{'n_neighbors': 20, 'weights': 'distance'}"
4,mDiffFit,inputs count,single step,2,DecisionTreeRegressor(random_state=5),0.5763364,0.57642744,433.06731054,97.21906453,0.0013406999996732338,"{'criterion': 'mse', 'max_depth': 10}"
5,mDiffFit,inputs count,single step,2,MLPRegressor(random_state=5),0.43816122,0.43827211,559.46111831,148.21432433,0.09994509999887669,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
6,mDiffFit,inputs count,single step,3,KNeighborsRegressor(),0.6846901,0.6848033,357.77503287,65.26937041,0.0713060999987647,"{'n_neighbors': 15, 'weights': 'distance'}"
7,mDiffFit,inputs count,single step,3,DecisionTreeRegressor(random_state=5),0.39420462,0.39438042,506.03871492,117.48565955,0.0008115999989968259,"{'criterion': 'mse', 'max_depth': 5}"
8,mDiffFit,inputs count,single step,3,MLPRegressor(random_state=5),0.53677756,0.53692264,476.3372926,116.40523952,0.06212320000122418,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
9,mDiffFit,inputs count,single step,4,KNeighborsRegressor(),0.7946689,0.79478824,310.99429932,56.62589686,0.08587740000075428,"{'n_neighbors': 15, 'weights': 'distance'}"
10,mDiffFit,inputs count,single step,4,DecisionTreeRegressor(random_state=5),0.7073957,0.70754012,348.21313661,71.51407334,0.0013857000012649223,"{'criterion': 'mse', 'max_depth': 10}"
11,mDiffFit,inputs count,single step,4,MLPRegressor(random_state=5),0.68568074,0.6858314,394.81227538,89.6222361,0.04122370000004594,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
12,mDiffFit,inputs count,single step,5,KNeighborsRegressor(),0.79073984,0.79089042,313.33457844,56.39598524,0.0828867000000173,"{'n_neighbors': 10, 'weights': 'distance'}"
13,mDiffFit,inputs count,single step,5,DecisionTreeRegressor(random_state=5),0.2001864,0.20054909,389.84461284,43.1583625,0.0014489000004687114,"{'criterion': 'mae', 'max_depth': 10}"
14,mDiffFit,inputs count,single step,5,MLPRegressor(random_state=5),0.69946205,0.69964542,393.86149343,86.28959076,0.06296629999997094,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
15,mDiffFit,inputs count,single step,6,KNeighborsRegressor(),0.79879136,0.79896859,316.86507766,58.7453795,0.1063014999999723,"{'n_neighbors': 10, 'weights': 'distance'}"
16,mDiffFit,inputs count,single step,6,DecisionTreeRegressor(random_state=5),0.63598713,0.63623453,360.43506327,71.0475831,0.001569500000186963,"{'criterion': 'mse', 'max_depth': 10}"
17,mDiffFit,inputs count,single step,6,MLPRegressor(random_state=5),0.68967541,0.68989967,402.58250143,89.2543792,0.031430200000613695,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
18,mDiffFit,inputs count,single step,7,KNeighborsRegressor(),0.72149226,0.7217379,354.63639767,68.5626081,0.15538980000019365,"{'n_neighbors': 10, 'weights': 'distance'}"
19,mDiffFit,inputs count,single step,7,DecisionTreeRegressor(random_state=5),0.64225849,0.64254397,365.09063091,71.95661683,0.0017975000009755604,"{'criterion': 'mse', 'max_depth': 10}"
20,mDiffFit,inputs count,single step,7,MLPRegressor(random_state=5),0.66769363,0.66796632,414.66681273,96.41418074,0.03592639999988023,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
21,mDiffFit,inputs count,single step,8,KNeighborsRegressor(),0.74604574,0.74631236,321.07464271,59.18175926,0.13268369999968854,"{'n_neighbors': 5, 'weights': 'distance'}"
22,mDiffFit,inputs count,single step,8,DecisionTreeRegressor(random_state=5),0.66440191,0.66471545,357.37773029,71.3374065,0.0013453999999910593,"{'criterion': 'mse', 'max_depth': 10}"
23,mDiffFit,inputs count,single step,8,MLPRegressor(random_state=5),0.72074381,0.72102497,370.16648287,84.9564639,0.037946000000374625,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mDiffFit,split inputs,single step,1,KNeighborsRegressor(),0.01248365,0.01255459,750.94340468,229.29813138,0.04645489999893471,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,mDiffFit,split inputs,single step,1,DecisionTreeRegressor(random_state=5),0.04615791,0.04622643,741.4662084,231.3689726,0.0006827000015618978,"{'criterion': 'mse', 'max_depth': 5}"
2,mDiffFit,split inputs,single step,1,MLPRegressor(random_state=5),0.04382226,0.04389095,737.35751586,230.4116324,0.1455631999997422,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
3,mDiffFit,split inputs,single step,2,KNeighborsRegressor(),0.68080507,0.68088457,385.64288396,85.26202043,0.059092200001032325,"{'n_neighbors': 15, 'weights': 'distance'}"
4,mDiffFit,split inputs,single step,2,DecisionTreeRegressor(random_state=5),0.44798331,0.44809626,529.83648989,151.15271962,0.0006404000014299527,"{'criterion': 'mse', 'max_depth': 5}"
5,mDiffFit,split inputs,single step,2,MLPRegressor(random_state=5),0.36884819,0.36897251,663.40360184,244.92320399,0.13383690000046045,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
6,mDiffFit,split inputs,single step,3,KNeighborsRegressor(),0.69838274,0.69849821,361.98790554,66.93622296,0.08335760000045411,"{'n_neighbors': 20, 'weights': 'distance'}"
