,dataset,features version,pipeline,name,adjusted_r2,r2,mae,mape,time,params
0,mDiffFit,prev,single step,KNeighborsRegressor(),0.81525714,0.81557564,276.43046316,51.33654851,14.180783399991924,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mDiffFit,prev,single step,DecisionTreeRegressor(random_state=5),0.7767262,0.77711112,317.73222083,60.81811856,0.004258300003129989,"{'criterion': 'mse', 'max_depth': 10}"
2,mDiffFit,prev,single step,MLPRegressor(random_state=5),0.42166958,0.42266663,519.4696375,110.75194853,0.06604770000558347,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mDiffFit,prev,two steps,KNeighborsRegressor(),0.85602,0.85635442,265.37324463,49.28308657,14.199338500009617,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mDiffFit,prev,two steps,DecisionTreeRegressor(random_state=5),0.83109703,0.8315089,298.66828758,57.16903144,0.003427699994063005,"{'criterion': 'mse', 'max_depth': 5}"
2,mDiffFit,prev,two steps,MLPRegressor(random_state=5),0.60506535,0.60620014,343.78674959,57.48148814,0.12670939997769892,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mDiffFit,prev,two steps clf,KNeighborsRegressor(),0.83971485,0.84004291,268.13754927,49.79645205,16.100329399982,"{'n_neighbors': 10, 'weights': 'distance'}"
1,mDiffFit,prev,two steps clf,DecisionTreeRegressor(random_state=5),0.80779524,0.80819557,305.02293199,58.38539381,0.004670499998610467,"{'criterion': 'mse', 'max_depth': 5}"
2,mDiffFit,prev,two steps clf,MLPRegressor(random_state=5),0.54455881,0.54558012,374.72755706,62.65482207,0.03861380001762882,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mDiffFit,inputs count,single step,KNeighborsRegressor(),0.85602,0.85635442,265.37324463,49.28308657,14.532864699984202,"{'n_neighbors': 10, 'weights': 'distance'}"
1,mDiffFit,inputs count,single step,DecisionTreeRegressor(random_state=5),0.81556251,0.81596668,305.02293199,58.38539381,0.005307699990225956,"{'criterion': 'mse', 'max_depth': 15}"
2,mDiffFit,inputs count,single step,MLPRegressor(random_state=5),0.44275306,0.44379996,498.690852,106.32187059,0.06745699999737553,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mDiffFit,inputs count,two steps,KNeighborsRegressor(),0.898821,0.89917214,254.75831485,47.3117631,14.525577300024452,"{'n_neighbors': 15, 'weights': 'distance'}"
1,mDiffFit,inputs count,two steps,DecisionTreeRegressor(random_state=5),0.87265188,0.87308435,286.72155607,54.88227018,0.003857400006381795,"{'criterion': 'mse', 'max_depth': 5}"
2,mDiffFit,inputs count,two steps,MLPRegressor(random_state=5),0.64741992,0.64863415,316.28380963,52.88296909,0.09576509997714311,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mDiffFit,inputs count,two steps clf,KNeighborsRegressor(),0.8817006,0.88204505,257.4120473,47.80459397,14.763462200004142,"{'n_neighbors': 10, 'weights': 'distance'}"
1,mDiffFit,inputs count,two steps clf,DecisionTreeRegressor(random_state=5),0.84818501,0.84860535,292.82201471,56.04997806,0.004340899991802871,"{'criterion': 'mse', 'max_depth': 5}"
2,mDiffFit,inputs count,two steps clf,MLPRegressor(random_state=5),0.59562633,0.59674341,338.4236763,56.58477692,0.03193269998882897,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mDiffFit,split inputs,single step,KNeighborsRegressor(),0.86060826,0.86094448,264.70981152,49.15987885,15.020472300006077,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,mDiffFit,split inputs,single step,DecisionTreeRegressor(random_state=5),0.81993392,0.82034026,304.26037466,58.23943033,0.0060150000208523124,"{'criterion': 'mse', 'max_depth': 10}"
2,mDiffFit,split inputs,single step,MLPRegressor(random_state=5),0.44512622,0.44617873,497.44412487,106.05606592,0.19288529999903403,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 50)}"
0,mDiffFit,split inputs,two steps,KNeighborsRegressor(),0.90363868,0.9039917,254.12141906,47.19348369,15.01305219999631,"{'n_neighbors': 5, 'weights': 'uniform'}"
1,mDiffFit,split inputs,two steps,DecisionTreeRegressor(random_state=5),0.87732929,0.87776408,286.00475218,54.74506451,0.00657090000458993,"{'criterion': 'mse', 'max_depth': 5}"
2,mDiffFit,split inputs,two steps,MLPRegressor(random_state=5),0.69273932,0.69403854,290.98110486,48.65233156,0.2043343000113964,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 50)}"
0,mDiffFit,split inputs,two steps clf,KNeighborsRegressor(),0.88642651,0.88677281,256.76851718,47.68508248,15.26772340000025,"{'n_neighbors': 5, 'weights': 'uniform'}"
1,mDiffFit,split inputs,two steps clf,DecisionTreeRegressor(random_state=5),0.85273128,0.85315387,292.08995968,55.90985312,0.008475400012684986,"{'criterion': 'mse', 'max_depth': 5}"
